match,teamInnings,battingPos,batsmanName,runs,balls,fours,sixes,SR,out/not_out,id,batsmanrName,Sr
Super Kings Vs Titans,Super Kings,1,Devon Conway,1,6,0,0,16.66,1,1,Devon Conway,16.666666666666664
Super Kings Vs Titans,Super Kings,2,Ruturaj Gaikwad,92,50,4,9,184.00,1,1,Ruturaj Gaikwad,184.0
Super Kings Vs Titans,Super Kings,3,Moeen Ali,23,17,4,1,135.29,1,1,Moeen Ali,135.29411764705884
Super Kings Vs Titans,Super Kings,4,Ben Stokes,7,6,1,0,116.66,1,1,Ben Stokes,116.66666666666667
Super Kings Vs Titans,Super Kings,5,Ambati Rayudu,12,12,0,1,100.00,1,1,Ambati Rayudu,100.0
Super Kings Vs Titans,Super Kings,6,Shivam Dube,19,18,0,1,105.55,1,1,Shivam Dube,105.55555555555556
Super Kings Vs Titans,Super Kings,7,Ravindra Jadeja,1,2,0,0,50.00,1,1,Ravindra Jadeja,50.0
Super Kings Vs Titans,Super Kings,8,MS Dhoni(c) ,14,7,1,1,200.00,0,1,MS Dhoni ,200.0
Super Kings Vs Titans,Super Kings,9,Mitchell Santner,1,3,0,0,33.33,0,1,Mitchell Santner,33.33333333333333
Super Kings Vs Titans,Titans,1,Wriddhiman Saha ,25,16,2,2,156.25,1,1,Wriddhiman Saha ,156.25
Super Kings Vs Titans,Titans,2,Shubman Gill,63,36,6,3,175.00,1,1,Shubman Gill,175.0
Super Kings Vs Titans,Titans,3,Sai Sudharsan,22,17,3,0,129.41,1,1,Sai Sudharsan,129.41176470588235
Super Kings Vs Titans,Titans,4,Hardik Pandya(c),8,11,0,0,72.72,1,1,Hardik Pandya,72.72727272727273
Super Kings Vs Titans,Titans,5,Vijay Shankar,27,21,2,1,128.57,1,1,Vijay Shankar,128.57142857142858
Super Kings Vs Titans,Titans,6,Rahul Tewatia,15,14,1,1,107.14,0,1,Rahul Tewatia,107.14285714285714
Super Kings Vs Titans,Titans,7,Rashid Khan,10,3,1,1,333.33,0,1,Rashid Khan,333.33333333333337
Punjab Kings Vs KKR,Punjab Kings,1,Prabhsimran Singh,23,12,2,2,191.66,1,2,Prabhsimran Singh,191.66666666666669
Punjab Kings Vs KKR,Punjab Kings,2,Shikhar Dhawan(c),40,29,6,0,137.93,1,2,Shikhar Dhawan,137.93103448275863
Punjab Kings Vs KKR,Punjab Kings,3,Bhanuka Rajapaksa,50,32,5,2,156.25,1,2,Bhanuka Rajapaksa,156.25
Punjab Kings Vs KKR,Punjab Kings,4,Jitesh Sharma ,21,11,1,2,190.90,1,2,Jitesh Sharma ,190.9090909090909
Punjab Kings Vs KKR,Punjab Kings,5,Sikandar Raza,16,13,1,1,123.07,1,2,Sikandar Raza,123.07692307692308
Punjab Kings Vs KKR,Punjab Kings,6,Sam Curran,26,17,0,2,152.94,0,2,Sam Curran,152.94117647058823
Punjab Kings Vs KKR,Punjab Kings,7,M Shahrukh Khan,11,7,2,0,157.14,0,2,M Shahrukh Khan,157.14285714285714
Punjab Kings Vs KKR,KKR,1,Mandeep Singh,2,4,0,0,50.00,1,2,Mandeep Singh,50.0
Punjab Kings Vs KKR,KKR,2,Rahmanullah Gurbaz ,22,16,3,1,137.50,1,2,Rahmanullah Gurbaz ,137.5
Punjab Kings Vs KKR,KKR,3,Anukul Roy,4,5,1,0,80.00,1,2,Anukul Roy,80.0
Punjab Kings Vs KKR,KKR,4,Venkatesh Iyer,34,28,3,1,121.42,1,2,Venkatesh Iyer,121.42857142857142
Punjab Kings Vs KKR,KKR,5,Nitish Rana(c),24,17,3,1,141.17,1,2,Nitish Rana,141.1764705882353
Punjab Kings Vs KKR,KKR,6,Rinku Singh,4,4,0,0,100.00,1,2,Rinku Singh,100.0
Punjab Kings Vs KKR,KKR,7,Andre Russell,35,19,3,2,184.21,1,2,Andre Russell,184.21052631578948
Punjab Kings Vs KKR,KKR,8,Shardul Thakur,8,3,0,1,266.66,0,2,Shardul Thakur,266.66666666666663
Punjab Kings Vs KKR,KKR,9,Sunil Narine,7,2,0,1,350.00,0,2,Sunil Narine,350.0
Super Giants Vs Capitals,Super Giants,1,KL Rahul(c),8,12,0,1,66.66,1,3,KL Rahul,66.66666666666666
Super Giants Vs Capitals,Super Giants,2,Kyle Mayers,73,38,2,7,192.10,1,3,Kyle Mayers,192.10526315789474
Super Giants Vs Capitals,Super Giants,3,Deepak Hooda,17,18,0,0,94.44,1,3,Deepak Hooda,94.44444444444444
Super Giants Vs Capitals,Super Giants,4,Krunal Pandya,15,13,0,1,115.38,0,3,Krunal Pandya,115.38461538461537
Super Giants Vs Capitals,Super Giants,5,Marcus Stoinis,12,10,0,1,120.00,1,3,Marcus Stoinis,120.0
Super Giants Vs Capitals,Super Giants,6,Nicholas Pooran ,36,21,2,3,171.42,1,3,Nicholas Pooran ,171.42857142857142
Super Giants Vs Capitals,Super Giants,7,Ayush Badoni,18,7,1,2,257.14,1,3,Ayush Badoni,257.14285714285717
Super Giants Vs Capitals,Super Giants,8,Krishnappa Gowtham,6,1,0,1,600.00,0,3,Krishnappa Gowtham,600.0
Super Giants Vs Capitals,Capitals,1,Prithvi Shaw,12,9,2,0,133.33,1,3,Prithvi Shaw,133.33333333333331
Super Giants Vs Capitals,Capitals,2,David Warner(c),56,48,7,0,116.66,1,3,David Warner,116.66666666666667
Super Giants Vs Capitals,Capitals,3,Mitchell Marsh,0,1,0,0,0.00,1,3,Mitchell Marsh,0.0
Super Giants Vs Capitals,Capitals,4,Sarfaraz Khan ,4,9,1,0,44.44,1,3,Sarfaraz Khan ,44.44444444444444
Super Giants Vs Capitals,Capitals,5,Rilee Rossouw,30,20,3,1,150.00,1,3,Rilee Rossouw,150.0
