match,team,bowlerName,overs,maiden,runs,wickets,economy,dots,fours,sixes,wides,noBalls,balls,id
Super Kings Vs Titans,Titans,Mohammed Shami,4,0,29,2,7.25,13,2,2,0,1,24,1
Super Kings Vs Titans,Titans,Hardik Pandya,3,0,28,0,9.33,6,2,2,0,0,18,1
Super Kings Vs Titans,Titans,Josh Little,4,0,41,1,10.25,10,4,3,0,0,24,1
Super Kings Vs Titans,Titans,Rashid Khan,4,0,26,2,6.5,10,2,1,0,0,24,1
Super Kings Vs Titans,Titans,Alzarri Joseph,4,0,33,2,8.25,8,0,3,0,0,24,1
Super Kings Vs Titans,Titans,Yash Dayal,1,0,14,0,14.0,2,0,2,0,0,6,1
Super Kings Vs Titans,Super Kings,Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0,24,1
Super Kings Vs Titans,Super Kings,Tushar Deshpande,3,0,51,1,15.3,5,4,4,1,1,20,1
Super Kings Vs Titans,Super Kings,Rajvardhan Hangargekar,4,0,36,3,9.0,10,4,1,3,1,24,1
Super Kings Vs Titans,Super Kings,Mitchell Santner,4,0,32,0,8.0,7,5,0,0,0,24,1
Super Kings Vs Titans,Super Kings,Ravindra Jadeja,4,0,28,1,7.0,9,1,1,0,0,24,1
Punjab Kings Vs KKR,KKR,Umesh Yadav,4,0,27,1,6.75,11,2,1,0,0,24,2
Punjab Kings Vs KKR,KKR,Tim Southee,4,0,54,2,13.5,7,6,3,0,0,24,2
Punjab Kings Vs KKR,KKR,Sunil Narine,4,0,40,1,10.0,8,3,2,1,0,24,2
Punjab Kings Vs KKR,KKR,Varun Chakravarthy,4,0,26,1,6.5,10,2,1,1,0,24,2
Punjab Kings Vs KKR,KKR,Shardul Thakur,4,0,43,0,10.75,7,4,2,0,1,24,2
Punjab Kings Vs KKR,Punjab Kings,Sam Curran,3,0,38,1,12.66,4,3,3,0,0,18,2
Punjab Kings Vs KKR,Punjab Kings,Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0,18,2
Punjab Kings Vs KKR,Punjab Kings,Nathan Ellis,3,0,27,1,9.0,8,2,1,0,2,18,2
Punjab Kings Vs KKR,Punjab Kings,Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0,18,2
Punjab Kings Vs KKR,Punjab Kings,Rishi Dhawan,1,0,15,0,15.0,2,2,1,0,0,6,2
Punjab Kings Vs KKR,Punjab Kings,Rahul Chahar,2,0,12,1,6.0,5,0,1,0,0,12,2
Punjab Kings Vs KKR,Punjab Kings,Harpreet Brar,1,0,7,0,7.0,3,1,0,0,0,6,2
Super Giants Vs Capitals,Capitals,Khaleel Ahmed,4,0,30,2,7.5,15,3,2,1,0,24,3
