name,team,battingStyle,bowlingStyle,playingRole
DavidWarner,Capitals,Left hand Bat,Legbreak,Opening Batter
PrithviShaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
ManishPandey,Capitals,Right hand Bat,Right arm Medium,Top order Batter
YashDhull,Capitals,Right hand Bat,Right arm Offbreak,Top order Batter
RovmanPowell,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
LalitYadav,Capitals,Right hand Bat,Right arm Offbreak,Allrounder
AxarPatel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AbishekPorel,Capitals,Left hand Bat,,Wicketkeeper Batter
KuldeepYadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler
AnrichNortje,Capitals,Right hand Bat,Right arm Fast,Bowler
MustafizurRahman,Capitals,Left hand Bat,Left arm Fast medium,Bowler
RohitSharma,Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter
IshanKishan,Mumbai,Left hand Bat,,Wicketkeeper Batter
TilakVarma,Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder
SuryakumarYadav,Mumbai,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
TimDavid,Mumbai,Right hand Bat,Right arm Offbreak,Middle order Batter
CameronGreen,Mumbai,Right hand Bat,Right arm Fast medium,Batting Allrounder
JasonBehrendorff,Mumbai,Right hand Bat,Left arm Fast medium,Bowler
ArshadKhan,Mumbai,Left hand Bat,Left arm Medium,Bowler
HrithikShokeen,Mumbai,Right hand Bat,Right arm Offbreak,Bowler
RileyMeredith,Mumbai,Right hand Bat,Right arm Fast,Bowler
PiyushChawla,Mumbai,Left hand Bat,Legbreak,Bowling Allrounder
MukeshKumar,Mumbai,Right hand Bat,Right arm Medium,Bowler
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter
FafduPlessis,RCB,Right hand Bat,Legbreak,Middle order Batter
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
MahipalLomror,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder
DineshKarthik,RCB,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
MichaelBracewell,RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder
AnujRawat,RCB,Left hand Bat,,Wicketkeeper Batter
YashasviJaiswal,Royals,Left hand Bat,Legbreak,Opening Batter
JosButtler,Royals,Right hand Bat,,Wicketkeeper Batter
SanjuSamson,Royals,Right hand Bat,,Wicketkeeper Batter
JoeRoot,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
DevduttPadikkal,Royals,Left hand Bat,Right arm Offbreak,Top order Batter
ShimronHetmyer,Royals,Left hand Bat,,Top order Batter
DhruvJurel,Royals,Right hand Bat,,Wicketkeeper Batter
RavichandranAshwin,Royals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AdamZampa,Royals,Right hand Bat,Legbreak Googly,Bowler
SandeepSharma,Royals,Right hand Bat,Right arm Medium,Bowler
KMAsif,Royals,Right hand Bat,Right arm Medium,Bowler
